rand = 2439, rand_cv = 4026
rand = 6351, rand_cv = 1108
rand = 213, rand_cv = 8661
rand = 9689, rand_cv = 1435
rand = 2290, rand_cv = 7541
rand = 1674, rand_cv = 8361
rand = 689, rand_cv = 1315
rand = 9304, rand_cv = 371
rand = 2874, rand_cv = 2655
rand = 9283, rand_cv = 6413
rand = 5150, rand_cv = 2880
rand = 4317, rand_cv = 7398
rand = 2055, rand_cv = 4778
rand = 9734, rand_cv = 5001
rand = 419, rand_cv = 32
rand = 1378, rand_cv = 7834
rand = 6307, rand_cv = 792
rand = 8074, rand_cv = 5246
rand = 4525, rand_cv = 8400
rand = 6609, rand_cv = 1978
rand = 6587, rand_cv = 4345
rand = 1474, rand_cv = 7516
rand = 1610, rand_cv = 9485
rand = 6797, rand_cv = 3351
rand = 9714, rand_cv = 1877
rand = 7719, rand_cv = 1639
rand = 1961, rand_cv = 3785
rand = 364, rand_cv = 8845
rand = 7998, rand_cv = 5134
rand = 1992, rand_cv = 9242
rand = 4219, rand_cv = 8818
rand = 206, rand_cv = 4911
rand = 5996, rand_cv = 1385
rand = 412, rand_cv = 3715
rand = 8681, rand_cv = 1306
rand = 4918, rand_cv = 3065
rand = 5948, rand_cv = 5583
rand = 4083, rand_cv = 345
rand = 2236, rand_cv = 4839
rand = 4063, rand_cv = 7789
rand = 5649, rand_cv = 6013
rand = 7654, rand_cv = 2673
rand = 551, rand_cv = 3981
rand = 1092, rand_cv = 997
rand = 3610, rand_cv = 8581
rand = 3668, rand_cv = 2636
rand = 2695, rand_cv = 5899
rand = 6970, rand_cv = 9022
rand = 7553, rand_cv = 8603
rand = 3033, rand_cv = 2232
rand = 6780, rand_cv = 5334
rand = 4072, rand_cv = 4497
rand = 2034, rand_cv = 4854
rand = 49, rand_cv = 1435
rand = 6275, rand_cv = 5835
rand = 1679, rand_cv = 8667
rand = 6811, rand_cv = 613
rand = 3979, rand_cv = 3555
rand = 7337, rand_cv = 4345
rand = 7992, rand_cv = 8178
rand = 7218, rand_cv = 581
rand = 6662, rand_cv = 3510
rand = 2699, rand_cv = 3496
rand = 5032, rand_cv = 1877
rand = 1413, rand_cv = 8239
rand = 1243, rand_cv = 3157
rand = 3979, rand_cv = 400
rand = 6720, rand_cv = 9326
rand = 185, rand_cv = 3692
rand = 7053, rand_cv = 8260
rand = 7273, rand_cv = 64
rand = 7070, rand_cv = 5343
rand = 9404, rand_cv = 4105
rand = 4121, rand_cv = 198
rand = 7662, rand_cv = 64
rand = 548, rand_cv = 4026
rand = 2059, rand_cv = 3510
rand = 5160, rand_cv = 1791
rand = 3916, rand_cv = 8908
rand = 201, rand_cv = 6785
rand = 1140, rand_cv = 20
rand = 7739, rand_cv = 9291
rand = 8275, rand_cv = 4854
rand = 7793, rand_cv = 5369
rand = 2794, rand_cv = 2088
rand = 3972, rand_cv = 9688
rand = 8312, rand_cv = 7398
rand = 7382, rand_cv = 4497
rand = 8137, rand_cv = 9022
rand = 733, rand_cv = 1414
rand = 9554, rand_cv = 8530
rand = 7731, rand_cv = 5911
rand = 3201, rand_cv = 7205
rand = 9821, rand_cv = 344
rand = 8428, rand_cv = 9096
rand = 4385, rand_cv = 7836
rand = 7672, rand_cv = 5270
rand = 7800, rand_cv = 9709
rand = 9972, rand_cv = 7468
rand = 1543, rand_cv = 5859
rand = 9202, rand_cv = 581
rand = 6216, rand_cv = 467
rand = 2958, rand_cv = 4713
rand = 6712, rand_cv = 5766
rand = 8965, rand_cv = 5001
rand = 3175, rand_cv = 298
rand = 9036, rand_cv = 400
rand = 5131, rand_cv = 8776
rand = 9995, rand_cv = 467
rand = 589, rand_cv = 2104
rand = 7104, rand_cv = 1336
rand = 4385, rand_cv = 32
rand = 3717, rand_cv = 3004
rand = 9903, rand_cv = 7892
rand = 8394, rand_cv = 9706
rand = 9750, rand_cv = 64
rand = 6055, rand_cv = 9645
rand = 5722, rand_cv = 4520
rand = 785, rand_cv = 5277
rand = 9403, rand_cv = 3407
rand = 6959, rand_cv = 32
rand = 9582, rand_cv = 7738
rand = 7104, rand_cv = 7009
rand = 6130, rand_cv = 5831
rand = 9948, rand_cv = 6809
rand = 4882, rand_cv = 6007
rand = 998, rand_cv = 371
rand = 9770, rand_cv = 7936
rand = 6892, rand_cv = 2654
rand = 8002, rand_cv = 8134
rand = 5843, rand_cv = 5408
rand = 7910, rand_cv = 4039
rand = 7907, rand_cv = 3137
rand = 3123, rand_cv = 3555
rand = 4564, rand_cv = 4577
rand = 6689, rand_cv = 8459
rand = 6932, rand_cv = 6116
rand = 2453, rand_cv = 3555
rand = 1065, rand_cv = 3555
rand = 7410, rand_cv = 9082
rand = 8003, rand_cv = 7859
rand = 8084, rand_cv = 1983
rand = 7968, rand_cv = 3417
rand = 9584, rand_cv = 3779
rand = 5655, rand_cv = 7836
rand = 1543, rand_cv = 5489
rand = 60, rand_cv = 6893
rand = 5476, rand_cv = 1618
rand = 2839, rand_cv = 8459
rand = 3385, rand_cv = 8216
rand = 7570, rand_cv = 9390
rand = 8376, rand_cv = 1618
rand = 5135, rand_cv = 4038
rand = 5291, rand_cv = 3303
rand = 822, rand_cv = 7510
rand = 9567, rand_cv = 5975
rand = 9850, rand_cv = 3360
rand = 1271, rand_cv = 5835
rand = 7153, rand_cv = 3496
rand = 8246, rand_cv = 7630
rand = 9795, rand_cv = 6155
rand = 9070, rand_cv = 4843
rand = 5353, rand_cv = 4386
rand = 7392, rand_cv = 8076
rand = 8698, rand_cv = 944
rand = 3029, rand_cv = 467
rand = 5538, rand_cv = 5285
rand = 8223, rand_cv = 64
rand = 1396, rand_cv = 4194
rand = 7126, rand_cv = 1983
rand = 9399, rand_cv = 7713
rand = 4155, rand_cv = 408
rand = 2632, rand_cv = 298
rand = 1714, rand_cv = 4143
rand = 8985, rand_cv = 6893
rand = 4941, rand_cv = 4181
rand = 9070, rand_cv = 7822
rand = 7179, rand_cv = 9797
rand = 6630, rand_cv = 8547
rand = 4141, rand_cv = 9485
rand = 1344, rand_cv = 5113
rand = 8071, rand_cv = 4181

__________NEW____________
